YY MM DD HH 11502 10304 20203
1980 3 8 6 0.14801928726708075 0 0.103932
1980 3 8 9 0.20177786982401655 0 0.133949
1980 3 8 12 1.8343400665113871 0.509913 0.110346
1980 3 8 15 0.5222967753623188 0.288123 0.039381
1980 3 8 18 0.3598673998447205 0.003993 0.015362
1980 3 8 21 0.12426157375776398 0 0.010598
1980 3 9 0 0.06722310662525881 0.005234 0.01098
1980 3 9 3 0.043050770703933754 0.017877 6.92e-4
1980 3 9 6 0.1620300191511387 0.001073 0
1980 3 9 9 0.31699393504140794 0.002135 0
1980 3 9 12 0.11360049818840581 0.001011 0.00104
1980 3 9 15 0.7213620654761905 0.041439 2.87e-4
1980 3 9 18 0.21657017960662528 0 0
1980 3 9 21 1.0706318527432712 0 0
1980 3 10 0 0.6843188680124224 0 0
1980 3 10 3 0.3056563351449275 0 0
1980 3 10 6 0.8171550240683231 0 0
1980 3 10 9 0.21966091770186336 0 0
1980 3 10 12 0.5496646035196688 0.013843 0.131557
1980 3 10 15 0.6268816990165631 0.019199 0.149558
1980 3 10 18 0.4918073786231884 0 0
1980 3 10 21 0.06438749611801242 0 0.079174
1980 3 11 0 0.021235401138716355 0 0.180978
1980 3 11 3 0.03850391045548655 0 0.216028
1980 3 11 6 0.0229852748447205 0 0.165182
1980 3 11 9 0.5511297963250518 0 0.276503
1980 3 11 12 0.6027667828674949 0.228307 0.201169
1980 3 11 15 0.21236692417184264 0.364576 0.819205
1980 3 11 18 0.01423808540372671 0.027156 0.012378
1980 3 11 21 0.032702469720496896 0 0.140751
1980 3 12 0 0.0030129420289855074 0 0.121863
1980 3 12 3 0.0037012805383022773 0 0.117508
1980 3 12 6 0.00925393814699793 0 0.075528
1980 3 12 9 2.476022256728778e-4 0 8.72e-4
1980 3 12 12 0.10334961516563147 0.099605 0.064897
1980 3 12 15 0.20287188146997928 0.149078 0.006091
1980 3 12 18 0.0014930579710144929 0 0.078849
1980 3 12 21 8.626035196687372e-6 0 0.032832
1980 3 13 0 2.8726708074534157e-8 0 0.58042
1980 3 13 3 2.8726708074534157e-8 0 0.008669
1980 3 13 6 2.8726708074534157e-8 0 0.082384
1980 3 13 9 0.007052343944099379 5.9e-5 0.236856
1980 3 13 12 0.33618280797101446 0.199978 0.277483
1980 3 13 15 0.44928575077639754 0.464226 0.13803
1980 3 13 18 0.1043339063146998 0.076749 0.15807
1980 3 13 21 0.007312573757763975 3.15e-4 0.22791
1980 3 14 0 6.5753105590062115e-6 0 0.066784
1980 3 14 3 2.8726708074534157e-8 0 0
1980 3 14 6 2.8726708074534157e-8 0 0
1980 3 14 9 0.027013718944099378 0.003033 0
1980 3 14 12 0.6507773454968944 0.980035 0.001817
1980 3 14 15 1.018504350672878 1.660393 0
1980 3 14 18 0.18977114751552795 0.308717 0
1980 3 14 21 0.0028398964803312632 0.002851 0
1980 3 15 0 2.3491200828157354e-6 1.25e-4 0
1980 3 15 3 3.518659420289855e-5 6.15e-4 0
1980 3 15 6 2.8726708074534157e-8 0 0
1980 3 15 9 2.8726708074534157e-8 7.17e-4 0
1980 3 15 12 0.125075549689441 0.086919 0
1980 3 15 15 0.22752443167701866 0.093764 0
1980 3 15 18 0.027805575569358178 8.1e-5 0
1980 3 15 21 1.3141226708074535e-4 0 0
1980 3 16 0 2.8726708074534157e-8 0 0
1980 3 16 3 2.8726708074534157e-8 0 0
1980 3 16 6 1.2097179089026916e-4 0 0
1980 3 16 9 0.014780712732919254 7.18e-4 0
1980 3 16 12 0.029653028726708074 0.039369 0
1980 3 16 15 0.05703036697722568 0.092841 0
1980 3 16 18 3.6489208074534164e-4 3.13e-4 0
1980 3 16 21 0.018606685817805384 6e-6 0
1980 3 17 0 0.008688013198757763 0 0
1980 3 17 3 0.00878612215320911 0 0
1980 3 17 6 1.2448757763975154e-4 0 0
1980 3 17 9 0.008392211697722567 0 0
1980 3 17 12 0.4845546739130435 0.649218 0
1980 3 17 15 0.41864678571428576 1.791585 0
1980 3 17 18 0.041368021480331266 0.042064 0
1980 3 17 21 3.975698757763975e-5 5e-6 0
1980 3 18 0 2.8726708074534157e-8 0 0
1980 3 18 3 4.247670807453416e-6 0 0
1980 3 18 6 2.8726708074534157e-8 0 0
1980 3 18 9 5.13592132505176e-5 0 0
1980 3 18 12 0.3260292696687371 0.220078 0
1980 3 18 15 0.41302530434782614 0.774078 0
1980 3 18 18 0.025421276397515527 0.088608 0
1980 3 18 21 2.138198757763975e-6 2.01e-4 4.64e-4
1980 3 19 0 7.763457556935818e-6 0 0
1980 3 19 3 4.292132505175984e-5 1e-6 0
1980 3 19 6 7.318840579710145e-7 0 0
